a_voltage_V,b_max_voltage_V,c_current_A,d_resistance_mOhm,e_welding_energy_Ws,f_force_one_N,g_force_two_N,h_movement_one_um,i_movement_two_um,j_welding_time_ms,k_wear,machine_nr,time
1.8766732,2.2648015,3367.489,392.71585,3311.5198,181.08775,166.92444,414.63718,424.21399,771.84241,0,1,164
1.6997083,2.1428878,3789.1689,463.05347,3311.9187,195.74593,194.60634,431.16916,433.08392,774.6991,0,1,165
1.4655018,2.2731898,3527.4685,413.22559,3311.9072,180.00363,194.97234,411.02927,424.46893,784.16504,0,0,166
0.77510136,2.0233779,3689.0034,497.98523,3311.9202,168.9101,192.68028,408.51266,416.52841,819.54431,0,0,167
1.0387007,2.488688,3485.2073,492.6561,3311.9243,197.27068,192.0334,427.14423,426.18091,811.81403,0,0,168
1.5906742,2.0002897,3858.1802,449.1525,3312.3743,191.87292,195.93478,430.09982,428.31824,744.17578,0,0,169
1.6282884,2.3192387,3481.1748,506.81894,3312.1206,181.84863,189.24002,424.09195,416.37677,819.36603,0,1,170
1.8036124,2.256108,3704.918,485.74146,3311.5518,167.6216,165.97559,420.44574,409.02231,909.91132,0,1,171
1.352542,2.2232955,3666.6719,398.50281,3312.3162,187.91611,201.18021,415.74551,446.09564,690.53217,0,0,172
1.4666197,2.276809,3797.1973,455.0668,3311.8752,184.64517,193.20866,439.74704,434.49716,791.11639,0,0,173
1.4339565,2.1148407,3465.8105,418.3291,3311.9917,180.13309,167.52309,404.50687,411.91791,751.03351,0,1,174
2.1815634,2.2737992,3525.0518,442.39035,3311.9539,182.81747,192.11009,433.33969,445.15356,824.32141,0,0,175
1.7086512,2.4599936,3569.7581,464.36996,3311.936,184.0188,178.2538,435.61856,424.80106,786.5658,0,0,176
1.6779218,2.2179742,3767.0295,433.06482,3311.7161,185.18907,183.32907,415.87183,419.91373,856.92896,0,0,177
1.7431451,2.2382226,3529.7039,467.16391,3311.9148,184.77478,179.91844,421.44388,428.42749,809.56952,0,0,178
1.5840282,2.1367996,3588.3582,417.1564,3312.1538,193.06537,187.8131,417.3671,417.61606,863.51117,0,0,179
1.6906329,2.309993,3711.2947,384.04065,3312.1174,183.85457,183.85172,426.65616,416.2767,899.18433,0,0,180
1.2139229,2.191638,3773.6807,405.56812,3312.0188,172.15222,201.48039,429.20532,426.08328,759.34766,0,0,181
1.4061897,2.168658,3437.1292,400.31036,3312.126,181.88844,175.91954,431.60745,402.43756,794.57727,0,0,182
2.0580721,2.4157891,3637.981,505.90787,3311.7568,186.59241,185.38138,403.76593,405.58997,748.23431,0,1,183
1.8701428,2.2421567,3558.6199,393.36456,3311.7327,168.64554,190.22786,424.59879,422.23666,772.96381,0,1,184
1.5258266,1.9308261,3574.4451,446.44217,3312.7371,188.618,175.29524,422.84979,434.18073,819.43689,0,0,185
1.1367188,2.296921,3385.824,469.711,3311.8965,186.29051,177.23204,427.45108,426.75732,847.56702,0,1,186
1.2892265,2.0940695,3798.856,523.26422,3311.7302,202.2524,185.78902,435.43433,410.48138,787.67865,0,1,187
1.491568,2.0933492,3355.022,508.31775,3311.7371,188.09517,188.90547,433.35199,433.05673,826.80865,0,1,188
1.3389851,2.2211654,3759.6118,447.98972,3311.3975,185.50902,181.97357,431.69464,409.40869,863.03851,0,1,189
1.3425491,2.4553645,3500.7368,439.61371,3311.6714,176.69888,188.16858,427.47919,431.13284,724.70312,0,1,190
1.3374871,2.4287689,3737.9614,371.9133,3312.1484,177.83757,178.19714,422.62637,422.22937,863.43744,0,0,191
1.4988605,2.0497546,3622.8647,465.37729,3311.9133,181.11903,186.66917,420.54062,418.18463,778.04919,0,1,192
1.5322992,2.2942655,3849.7485,434.95715,3312.0854,173.3363,185.12036,425.84155,419.63751,801.85364,0,0,193
1.45151,2.0896404,3663.3586,445.25293,3312.0227,174.45195,195.08777,431.9494,425.36148,748.81854,0,1,194
1.6728404,2.2839465,3627.4341,546.71228,3311.9648,186.28903,182.12291,421.27155,416.7171,746.89978,0,0,195
1.5185155,2.3959117,3431.3408,463.28918,3312.0034,192.14395,191.31432,428.21146,419.00473,774.29419,0,1,196
1.3974195,2.2155554,3862.9119,506.74576,3311.6929,177.29752,197.00026,443.98868,406.29846,811.68054,0,0,197
2.1835535,2.279985,3512.885,460.29459,3312.1453,193.91713,182.09801,420.37216,425.82999,699.01727,0,0,198
1.4242082,2.2561469,3631.1179,457.23334,3312.3198,178.1653,194.23738,422.60062,413.12769,789.37677,0,0,199
1.5043851,2.0769129,3778.574,467.51837,3312.325,192.62648,171.1087,428.31964,432.36353,745.43561,0,1,200
1.8580016,2.2155168,3704.2756,434.56921,3311.72,194.07669,180.80933,410.88568,413.30701,883.42963,0,1,201
1.9721315,2.3649731,3526.4993,482.60532,3311.9355,183.66241,177.67784,409.2326,430.99582,761.23315,0,0,202
1.488857,2.2599022,3638.905,448.24371,3311.9739,179.63995,174.9512,407.13168,438.54648,777.86212,0,0,203
1.5884322,2.1213562,3581.6511,482.7261,3311.9094,181.00461,175.19083,421.64392,422.58313,801.61646,0,0,204
1.8796564,1.8961668,3757.2056,437.40891,3312.1045,185.25272,192.08963,428.33972,438.7652,772.32391,0,1,205
1.4778121,2.3704972,3768.1428,384.27292,3312.2925,184.09332,191.2673,426.4346,394.14191,834.89166,0,1,206
1.6911764,2.2561598,3532.0518,434.95566,3311.8076,188.85922,182.18814,428.0036,426.68332,854.49323,0,0,207
1.6373903,2.1770835,3690.6833,449.92896,3311.8013,183.85223,190.32248,408.05655,409.24182,737.50671,0,0,208
1.3452905,1.9807308,3792.2568,396.90619,3311.9744,169.65477,188.58566,431.60812,425.57767,803.08527,0,0,209
1.2305926,2.205363,3707.3882,407.67484,3312.0276,185.38591,197.45523,429.76718,423.32571,771.75067,0,0,210
1.4092491,2.3504944,3730.0393,490.31168,3312.3025,178.15034,183.68703,411.76279,431.40756,923.03223,0,1,211
1.4013821,2.1254032,3641.7334,426.21652,3311.9053,197.25098,187.16835,414.02383,427.20459,828.56287,0,0,212
1.5219427,2.2881701,3546.3142,457.40747,3311.6506,192.46979,192.01492,421.59808,444.93616,827.90674,0,1,213
1.2406714,2.2032387,3689.731,463.66043,3312.1116,178.35036,178.98965,418.64819,429.0311,849.71472,0,0,214
1.6306546,2.09164,3550.7014,451.32986,3312.4299,185.71075,197.51173,431.36993,391.73438,821.41479,0,0,215
1.5122334,2.0921688,3647.2881,453.88623,3311.8718,182.45534,176.33113,420.67346,433.90558,709.39294,0,1,216
1.6862701,2.2158551,3764.6797,496.86395,3312.334,182.27164,192.15395,419.61331,420.61838,698.1264,0,1,217
1.2519271,2.3891535,3669.1663,462.88773,3311.7913,183.28,192.56972,418.92899,445.32516,816.43518,0,1,218
1.6017809,2.2076402,3572.8584,458.2323,3311.7791,188.55624,183.1024,433.28033,419.4639,780.53583,0,1,219
1.5448189,2.165911,3619.2488,465.50696,3311.7739,183.06923,198.64168,445.74026,419.52231,839.97461,0,1,220
1.59679,2.4336753,3787.2393,492.83917,3312.228,185.09103,187.82132,432.44992,419.17328,737.52417,0,0,221
1.6404254,2.0725567,3666.8398,442.42413,3312.1782,198.01704,177.76892,436.42941,418.84613,787.18066,0,0,222
1.415176,1.9856911,3748.325,462.35773,3311.8301,184.16591,178.27698,436.79385,432.12677,894.82465,0,1,223
1.2875099,2.272042,3576.8601,443.25739,3312.0391,176.77248,185.85703,427.21072,423.81277,774.1369,0,1,224
1.6890299,2.1461346,3673.4961,464.84824,3312.2236,180.20499,192.49619,408.95163,404.74808,937.33093,0,0,225
1.3980261,1.9923794,3656.1255,449.30502,3311.9028,184.52087,191.37106,410.02441,428.38574,793.10889,0,1,226
1.5993468,2.4420567,3619.8804,443.54904,3311.8384,176.83553,164.57277,414.31897,432.96457,840.30524,0,0,227
1.80504,2.1538892,3839.2754,446.46237,3312.1799,184.49013,185.89963,413.98618,434.51028,757.20453,0,1,228
1.5401058,2.2157569,3606.9387,424.64917,3311.7727,183.92416,201.4846,419.14905,432.81097,817.99304,0,0,229
