glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
7.6169038,7134,1.9721718,2.04949,1.9417211,2.098053,0,3569
7.9568443,14275,1.9630011,2.0364072,1.9766937,1.9249972,-1,3569
7.8463192,14278,2.0380342,2.0258493,2.0776868,2.0912971,-1,3570
8.0550299,7131,1.9081343,1.9136549,1.9825822,1.9749997,2,3570
7.6169038,7134,1.9721718,2.04949,1.9417211,2.098053,1,3570
8.3116837,7135,1.9949691,2.0942268,2.0068655,2.0882661,0,3570
7.9407167,14279,2.037883,1.9927793,1.9068748,1.952395,-1,3570
8.298625,14282,2.0613608,1.9455212,1.9006213,1.9212071,-1,3571
7.6169038,7134,1.9721718,2.04949,1.9417211,2.098053,2,3571
8.3116837,7135,1.9949691,2.0942268,2.0068655,2.0882661,1,3571
7.9266658,7138,2.0760159,2.0291674,2.0382164,2.0924318,0,3571
7.9030337,14283,2.038836,2.0894063,1.9933645,1.9333686,-1,3571
7.9898944,14286,2.0018098,2.0009961,2.0043764,2.0762951,-1,3572
8.3116837,7135,1.9949691,2.0942268,2.0068655,2.0882661,2,3572
7.9266658,7138,2.0760159,2.0291674,2.0382164,2.0924318,1,3572
8.2767467,7139,1.9343283,2.0786734,1.9627835,1.9115409,0,3572
8.1705847,14287,1.9481841,2.0044322,2.0174646,1.984271,-1,3572
7.7561417,14290,1.9207486,2.0857401,1.9176071,1.9809961,-1,3573
7.9266658,7138,2.0760159,2.0291674,2.0382164,2.0924318,2,3573
8.2767467,7139,1.9343283,2.0786734,1.9627835,1.9115409,1,3573
7.8331118,7142,2.0953372,2.0845265,1.9307029,1.9758939,0,3573
7.7117457,14291,2.025099,2.0388937,2.0937161,2.0288582,-1,3573
7.9951534,14294,1.9898127,2.081202,2.0194397,1.9347209,-1,3574
8.2767467,7139,1.9343283,2.0786734,1.9627835,1.9115409,2,3574
7.8331118,7142,2.0953372,2.0845265,1.9307029,1.9758939,1,3574
8.1210566,7143,1.9052701,2.0980496,2.0721939,2.0654669,0,3574
8.0929899,14295,2.071012,2.0008588,2.0075164,1.9035248,-1,3574
7.675056,14298,2.0102541,1.9287478,1.9586822,2.0970016,-1,3575
7.8331118,7142,2.0953372,2.0845265,1.9307029,1.9758939,2,3575
8.1210566,7143,1.9052701,2.0980496,2.0721939,2.0654669,1,3575
8.0769558,7146,2.0636289,1.9107704,2.0541618,1.9450878,0,3575
8.0191317,14299,2.0816998,1.9424158,2.0643981,1.9435756,-1,3575
7.635273,14302,2.0490882,2.062012,2.0285785,2.0260613,-1,3576
8.1210566,7143,1.9052701,2.0980496,2.0721939,2.0654669,2,3576
8.0769558,7146,2.0636289,1.9107704,2.0541618,1.9450878,1,3576
7.7085147,7147,2.0201771,2.0438809,1.9058241,1.9795246,0,3576
7.899157,14303,2.0896196,2.0783238,2.0314095,1.9234304,-1,3576
7.9073367,14306,1.987332,2.0789263,1.9158577,2.0256133,-1,3577
8.0769558,7146,2.0636289,1.9107704,2.0541618,1.9450878,2,3577
